NODE_KEY,CITY,POSTAL_CODE,STREET,BUILDING,COUNTRY,ADDRESS_TYPE,VAL_START_DATE,VAL_END_DATE,LATITUDE,LONGITUDE
74867AD200E41EDBA5D8B06885664052,Munich,85399,Zeppelinstrasse,2,DE,2,2000-01-01,9999-12-31,48.331816,11.736955
74867AD200E41EDBA5D8B06885668052,Antioch Illinois,60002,Tiffany Road,54,US,1,2000-01-01,9999-12-31,0,0
74867AD200E41EDBA5D8B0688566A052,San Francisco,94101,Summerset Street,6,US,1,2000-01-01,9999-12-31,0,0
74867AD200E41EDBA5D8B06885670052,New York,10011,11th Avenue,17,US,1,2000-01-01,9999-12-31,0,0
74867AD200E41EDBA5D8B0688567A052,London,EC1Y8SY,Castle Lane,25,GB,1,2000-01-01,9999-12-31,0,0
74867AD200E41EDBA5D8B06885680052,Berlin,10001,Drosselweg,28,DE,1,2000-01-01,9999-12-31,0,0
74867AD200E41EDBA5D8B06885690052,Sydney,2000,George Street,45,AU,2,2010-05-01,9999-12-31,-33.8688,151.2093
74867AD200E41EDBA5D8B06885691052,Dubai,500001,Sheikh Zayed Road,120,AE,2,2012-03-15,9999-12-31,25.276987,55.296249
74867AD200E41EDBA5D8B06885692052,Singapore,018989,Marina Boulevard,12,SG,1,2015-07-20,9999-12-31,1.283333,103.833333
74867AD200E41EDBA5D8B06885693052,Johannesburg,2001,Oxford Road,87,ZA,1,2018-09-10,9999-12-31,-26.204103,28.047305
74867AD200E41EDBA5D8B06885694052,Toronto,M5H2N2,Bay Street,102,CA,2,2020-01-01,9999-12-31,43.65107,-79.347015
